OBJECTID,ID,VARIATION_NUMBER_CREATED_BY,VARIATION_YEAR,GAZETTAL_NUMBER,GAZETTAL_DATE,DESCRIPTION,LAND_USE_ZONE_CODE_ID,LAND_USE_POLICY_DESC,CURRENT_LIFECYCLE_STAGE,DEGAZETTAL_NUMBER,DIVISION_SHORT,DIVISION_CODE,DIVISION_NAME,DISTRICT_SHORT,DISTRICT_CODE,DISTRICT_NAME,Shape__Area,Shape__Length
2471,2995,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,COND,613,CONDER,TUGG,6,TUGGERANONG,2684.822265625,557.347974073635
2472,2996,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,GUNG,710,GUNGAHLIN,GUNG,7,GUNGAHLIN,9568.703125,648.073880695605
2473,2997,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,COND,613,CONDER,TUGG,6,TUGGERANONG,1453.55200195313,163.0401498668
2474,2998,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,COND,613,CONDER,TUGG,6,TUGGERANONG,3916.236328125,271.802014041807
2475,2999,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,AMAR,707,AMAROO,GUNG,7,GUNGAHLIN,149230.732421875,5844.01304229955
2476,3000,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,GUNG,710,GUNGAHLIN,GUNG,7,GUNGAHLIN,767.96533203125,151.996389498516
2477,3001,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,GUNG,710,GUNGAHLIN,GUNG,7,GUNGAHLIN,767.96533203125,151.996389501455
2478,3002,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,GUNG,710,GUNGAHLIN,GUNG,7,GUNGAHLIN,371.982666015625,85.998025933647
2479,3003,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,GUNG,710,GUNGAHLIN,GUNG,7,GUNGAHLIN,381.580078125,87.597794365898
2480,3004,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,AMAR,707,AMAROO,GUNG,7,GUNGAHLIN,4724.48364257813,417.667971121262
2481,2693,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,39703.6010742188,2617.43606956541
2482,2694,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,RICH,607,RICHARDSON,TUGG,6,TUGGERANONG,93607.5104980469,6190.9913183099
2483,2695,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,FADD,605,FADDEN,TUGG,6,TUGGERANONG,18260.0744628906,532.660893786601
2484,2696,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,GOWR,604,GOWRIE,TUGG,6,TUGGERANONG,22788.2868652344,673.684950760421
2485,2697,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,WEST,441,WESTON,WEST,4,WESTON CREEK,42633.6403808594,2719.20838618254
2486,2698,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,WEST,441,WESTON,WEST,4,WESTON CREEK,9401.94262695313,948.681006022492
2487,2699,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,WEST,441,WESTON,WEST,4,WESTON CREEK,18094.1999511719,1063.5547911743
2488,2701,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,WEST,441,WESTON,WEST,4,WESTON CREEK,3970.09838867188,586.204310385924
2489,2703,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,WEST,441,WESTON,WEST,4,WESTON CREEK,14658.7263183594,904.341679244356
2490,2704,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,WEST,441,WESTON,WEST,4,WESTON CREEK,4929.6171875,402.155277468281
