OBJECTID,ID,VARIATION_NUMBER_CREATED_BY,VARIATION_YEAR,GAZETTAL_NUMBER,GAZETTAL_DATE,DESCRIPTION,LAND_USE_ZONE_CODE_ID,LAND_USE_POLICY_DESC,CURRENT_LIFECYCLE_STAGE,DEGAZETTAL_NUMBER,DIVISION_SHORT,DIVISION_CODE,DIVISION_NAME,DISTRICT_SHORT,DISTRICT_CODE,DISTRICT_NAME,Shape__Area,Shape__Length
2556,6508,TA2010-12,10,NI2010-125,2010/03/19 00:00:00+00,,NUZ3,"HILLS, RIDGES AND BUFFER AREAS",GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,73355.5852050781,1826.90446099229
2557,3029,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,MITC,701,MITCHELL,GUNG,7,GUNGAHLIN,8457.37670898438,449.675835083719
2558,3030,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,8223.69775390625,823.711578460963
2559,3031,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,2961.99609375,273.239838458048
2560,2733,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,4758.1376953125,690.184795294011
2561,2734,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,3013.65502929688,484.750823073629
2562,2735,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,5441.59643554688,790.049701485605
2563,2736,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,2290.91015625,438.537459650528
2564,2737,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,KAMB,601,KAMBAH,TUGG,6,TUGGERANONG,32523.0979003906,1299.30797879038
2565,2738,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,CHAR,570,CHARNWOOD,BELC,5,BELCONNEN,2729.26513671875,270.462646520694
