Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) and STRD Dwelling Structure"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"


"SA2 (EN)","STRD Dwelling Structure",
,"Semi-detached, row or terrace house, townhouse etc. with one storey",0,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Jacka","Separate house",112,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",57,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",76,
,"Flat or apartment in a one or two storey block",10,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Kenny","Separate house",0,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",0,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",14,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",4,
,"Not applicable",0,
"Moncrieff","Separate house",916,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",81,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",596,
,"Flat or apartment in a one or two storey block",49,
,"Flat or apartment in a three storey block",67,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",7,
,"Not applicable",0,
"Taylor","Separate house",551,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",36,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",84,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",5,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",7,
,"Not applicable",0,
"Throsby","Separate house",679,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",10,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",68,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",5,
,"Not applicable",0,
"Acton","Separate house",0,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",0,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",11,
"Ainslie","Separate house",1599,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",257,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",133,
,"Flat or apartment in a one or two storey block",107,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",141,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",21,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",5,
,"Not applicable",7,
"Braddon","Separate house",197,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",102,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",475,
,"Flat or apartment in a one or two storey block",470,
,"Flat or apartment in a three storey block",816,
,"Flat or apartment in a four to eight storey block",1385,
,"Flat or apartment in a nine or more storey block",697,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",10,
,"Not applicable",8,
"Civic","Separate house",0,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",0,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",204,
,"Flat or apartment in a three storey block",9,
,"Flat or apartment in a four to eight storey block",279,
,"Flat or apartment in a nine or more storey block",1996,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",40,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",10,
,"Not applicable",18,
"Dickson","Separate house",463,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",24,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",324,
,"Flat or apartment in a one or two storey block",216,
,"Flat or apartment in a three storey block",58,
,"Flat or apartment in a four to eight storey block",527,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",7,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",4,
,"Not applicable",4,
"Downer","Separate house",1194,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",131,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",149,
,"Flat or apartment in a one or two storey block",222,
,"Flat or apartment in a three storey block",18,
,"Flat or apartment in a four to eight storey block",58,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",28,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Hackett","Separate house",968,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",160,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",34,
,"Flat or apartment in a one or two storey block",62,
,"Flat or apartment in a three storey block",76,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",5,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",4,
"Lyneham","Separate house",746,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",293,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",725,
,"Flat or apartment in a one or two storey block",273,
,"Flat or apartment in a three storey block",212,
,"Flat or apartment in a four to eight storey block",260,
,"Flat or apartment in a nine or more storey block",351,
,"Flat or apartment attached to a house",4,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",5,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",12,
,"Not applicable",10,
"O'Connor (ACT)","Separate house",1616,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",243,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",164,
,"Flat or apartment in a one or two storey block",251,
,"Flat or apartment in a three storey block",224,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",8,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Turner","Separate house",287,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",95,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",255,
,"Flat or apartment in a one or two storey block",219,
,"Flat or apartment in a three storey block",726,
,"Flat or apartment in a four to eight storey block",287,
,"Flat or apartment in a nine or more storey block",627,
,"Flat or apartment attached to a house",4,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",8,
,"Not applicable",0,
"Watson","Separate house",1669,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",76,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",790,
,"Flat or apartment in a one or two storey block",221,
,"Flat or apartment in a three storey block",128,
,"Flat or apartment in a four to eight storey block",26,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",31,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",6,
,"Not applicable",3,
"Black Mountain","Separate house",0,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",0,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Campbell","Separate house",947,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",106,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",165,
,"Flat or apartment in a one or two storey block",25,
,"Flat or apartment in a three storey block",129,
,"Flat or apartment in a four to eight storey block",264,
,"Flat or apartment in a nine or more storey block",712,
,"Flat or apartment attached to a house",6,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",3,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",3,
,"Not applicable",3,
"Duntroon","Separate house",177,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",16,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Parkes (ACT) - North","Separate house",0,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",0,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Reid","Separate house",276,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",7,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",179,
,"Flat or apartment in a one or two storey block",137,
,"Flat or apartment in a three storey block",80,
,"Flat or apartment in a four to eight storey block",141,
,"Flat or apartment in a nine or more storey block",89,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Russell","Separate house",0,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",0,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Deakin","Separate house",913,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",65,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",195,
,"Flat or apartment in a one or two storey block",46,
,"Flat or apartment in a three storey block",44,
,"Flat or apartment in a four to eight storey block",112,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",9,
"Forrest","Separate house",339,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",39,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",140,
,"Flat or apartment in a one or two storey block",3,
,"Flat or apartment in a three storey block",256,
,"Flat or apartment in a four to eight storey block",231,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",4,
,"Not applicable",0,
"Griffith (ACT)","Separate house",901,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",83,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",206,
,"Flat or apartment in a one or two storey block",286,
,"Flat or apartment in a three storey block",529,
,"Flat or apartment in a four to eight storey block",697,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",13,
,"Not applicable",7,
"Lake Burley Griffin","Separate house",0,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",0,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Narrabundah","Separate house",1867,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",205,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",154,
,"Flat or apartment in a one or two storey block",517,
,"Flat or apartment in a three storey block",36,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",12,
"Parkes (ACT) - South","Separate house",0,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",0,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",3,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Red Hill (ACT)","Separate house",895,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",11,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",76,
,"Flat or apartment in a one or two storey block",138,
,"Flat or apartment in a three storey block",42,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",3,
"Yarralumla","Separate house",900,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",114,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",290,
,"Flat or apartment in a one or two storey block",56,
,"Flat or apartment in a three storey block",7,
,"Flat or apartment in a four to eight storey block",53,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",6,
,"Not applicable",4,
"Barton","Separate house",64,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",9,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",27,
,"Flat or apartment in a one or two storey block",31,
,"Flat or apartment in a three storey block",149,
,"Flat or apartment in a four to eight storey block",532,
,"Flat or apartment in a nine or more storey block",204,
,"Flat or apartment attached to a house",166,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",9,
"Fyshwick","Separate house",18,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",0,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",9,
,"Not applicable",0,
"Kingston (ACT)","Separate house",125,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",21,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",236,
,"Flat or apartment in a one or two storey block",74,
,"Flat or apartment in a three storey block",892,
,"Flat or apartment in a four to eight storey block",2845,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",7,
,"Not applicable",0,
"Banks","Separate house",1459,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",295,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",34,
,"Flat or apartment in a one or two storey block",68,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Bonython","Separate house",907,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",102,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",370,
,"Flat or apartment in a one or two storey block",174,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",4,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Calwell","Separate house",1838,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",229,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",12,
,"Flat or apartment in a one or two storey block",63,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Chisholm","Separate house",1888,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",42,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",25,
,"Flat or apartment in a one or two storey block",14,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",10,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Conder","Separate house",1479,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",140,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",57,
,"Flat or apartment in a one or two storey block",168,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Fadden","Separate house",1059,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",0,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",26,
,"Flat or apartment in a one or two storey block",16,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Gilmore","Separate house",927,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",58,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",15,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Gordon (ACT)","Separate house",2064,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",820,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",106,
,"Flat or apartment in a one or two storey block",41,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",5,
,"Not applicable",3,
"Gowrie (ACT)","Separate house",1144,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",3,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",9,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",4,
,"Not applicable",0,
"Greenway","Separate house",61,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",381,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",385,
,"Flat or apartment in a one or two storey block",173,
,"Flat or apartment in a three storey block",197,
,"Flat or apartment in a four to eight storey block",694,
,"Flat or apartment in a nine or more storey block",525,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",5,
,"Not applicable",3,
"Isabella Plains","Separate house",1277,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",430,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",4,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Kambah","Separate house",5323,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",730,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",140,
,"Flat or apartment in a one or two storey block",89,
,"Flat or apartment in a three storey block",21,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",22,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",4,
,"Not applicable",0,
"Macarthur","Separate house",488,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",14,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Monash","Separate house",1945,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",198,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",103,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",29,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",3,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",8,
,"Not applicable",3,
"Mount Taylor","Separate house",0,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",0,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Oxley (ACT)","Separate house",600,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",53,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",0,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",0,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Richardson","Separate house",1125,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",36,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",11,
,"Flat or apartment in a one or two storey block",0,
,"Flat or apartment in a three storey block",0,
,"Flat or apartment in a four to eight storey block",0,
,"Flat or apartment in a nine or more storey block",0,
,"Flat or apartment attached to a house",6,
,"Caravan",0,
,"Cabin, houseboat",0,
,"Improvised home, tent, sleepers out",0,
,"House or flat attached to a shop, office, etc.",0,
,"Not stated",0,
,"Not applicable",0,
"Theodore","Separate house",1324,
,"Semi-detached, row or terrace house, townhouse etc. with one storey",76,
,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",10,
